DRINK,INGREDIENTES,COMO FAZER
Tequila Fizz,"1 dose de tequila, 1 dose de suco de limão, 1 colher (sobremesa) de açúcar","Bata os ingredientes com gelo, despeje num copo tipo long drink, complete com club soda e sirva com uma casca de limão e uma pitadinha de sal por cima."
Pina Colada,"2 doses de rum escuro, 3 doses de suco de abacaxi, 2 doses de leite de coco , pedaços de abacaxi","Bata todas as doses no liquidificador com 2 rodelas de abacaxi. Sirva com gelo. Existe a alternativa de simplesmente tirar uma tampa do abacaxi, depois tirar a polpa da fruta, deixando apenas uma camada razoável... então você enche de vodka.... (a parte boa é que fica apenas o gosto do abacaxi, a parte ruim é que você fica andando segurando um abacaxi!"
Margarita Frozen,"1 dose de Tequila,  ½ dose de Cointreau, 1 dose de suco de limão",Passe os ingredientes pelo liquidificador com o gelo e sirva em taça grande para coquetéis crustada com sal. Decore com uma rodela de limão.
Margarita,"1 parte de suco de limão, 3 partes de Cointreau, 6 partes de tequila","Coloque os ingredientes, com gelo, numa coqueteleira e bata bem. Sirva coado em um copo short-drink. Envolva a borda do copo com limão, passando-o pela polpa da fruta, e em seguida sal, formando uma crosta."
Hi Fi,"1/2 dose de vodka, 1 dose de suco de laranja","Misture a vodka e o refrigerante, adicionando cubos de gelo."
Fizz de Laranja,"1 laranja, 2 doses de gim, 2 colheres (sopa) de suco de limão, 2 colheres (chá) de açúcar diluído em água, 2 gotas de bitter de laranja.","Reserve a soda e a laranja e agite os demais ingredientes numa coqueteleira com gelo. Coe para um copo alto. Adicione gelo, soda a gosto, uma gota de suco de laranja (ou mais, se preferir) e decore com uma fatia de laranja. Sirva imediatamente, enquanto o coquetel ainda está efervescente."
Dry Martini,"1 medida de vermute seco, 9 medidas de dry gim, Gelo, Azeitona","Coloque o gim sobre as pedras de gelo, mexendo para gelar a bebida. Retire o gelo da taça e pingue o vermute seco, irando a taça para que percorra suas paredes. Coloque uma azeitona espetada num palito."
Daiquiri,"1 e 1/2 ou 2 doses de rum leve, suco de 1/2 limão galego, 1 pitada de açúcar diluída em água, 1 gota de marasquino (opcional).","Este drinque tem dois tipos de preparação. No primeiro, agita-se bem todos os ingredientes numa coqueteleira, com bastante gelo picado, e coa-se para um copo de coquetel. No segundo, mistura-se os ingredientes com gelo num copo para mexer e serve-se num copo de champanha tipo tulipa, com canudinhos curtos. Ainda que os ingredientes e as medidas variem a cada receita, os sabores predominantes do Daiquiri devem ser o rum e o limão, o drinque ideal resulta seco e suave."
Cuba Libre,"1 limão, 2 doses de rum leve, Coca-cola ou Pepsi Cola.","Esprema o limão num copo e deixe cair as metades da fruta. Soque-as e junte cubos de gelo. Adicione o rum e complete com a Coca-cola, Pepsi ou genérico . Mexa bem e sirva."
Sex on the Beach,"1 1/2 parte de vodka, 1 1/2 parte de licor de pêssego, 2 partes de suco de laranja, 2 partes de suco de abacaxi, 2 partes de suco de pêssego groselha",Misture todos os ingredientes (com exceção da groselha) num copo grande e complete com bastante gelo. Coloque a groselha para que ela dê uma cor ao fundo (não misture!!).
Caipirinha,"3 doses de pinga, 1 limão, 3 colheres (sopa) de caldo coado de limão, 2 colheres (sopa) água, 1 colher (sopa) de mel, 2 colheres (sopa) de gelo picado.","Corte o limão em 4 gomos e coloque 2 em cada copo. Reparta a água ardente, o caldo de limão, o mel e a água, em partes iguais, em cada copo. Amasse bem os gomos de limão com o auxílio de um pequeno soquete. Complete com o gelo, mexa bem e sirva em seguida."
Bloody Mary,"1 e 1/2 dose de vodca, 3 doses de suco de tomate, 1/2 dose de suco de limão, 1 colher (chá) de Molho Inglês, 2 gotas de molho de pimenta, sal e pimenta-do-reino a gosto.","Junte todos os ingredientes numa coqueteleira com três pedras de gelo e agite bem. Coe para um copo tipo alto e, sirva, também com gelo."
Alexander,"1 e 1/2 dose de conhaque ou armagnac, 1 dose de creme de cacau escuro, 1 dose de creme de leite noz-moscada em pó.","Agite os ingredientes com gelo na coqueteleira. Coe e sirva, polvilhado com noz-moscada."
